credit_card_num,card_code,expire_month,expire_year,card_type,Owner_email
5.14E+14,133,1,2023,Master ,gwestcotcr@nsu.edu
5.62E+14,951,2,2028,Master ,probinsonec@nsu.edu
5.46E+14,276,6,2024,Master ,dcopshr@nsu.edu
5.67E+14,127,7,2027,Master ,npallaschk8@nsu.edu
5.57E+14,279,10,2032,Master ,dpollastroneg@nsu.edu
5.94E+14,12,11,2031,Master ,tsolman25@nsu.edu
5.30E+14,266,7,2027,Master ,ehaspineallfb@nsu.edu
5.20E+14,293,6,2032,Master ,esavaageho@nsu.edu
5.37E+14,746,9,2031,Master ,ggemmillv@nsu.edu
5.82E+14,159,7,2023,Master ,eranfield2x@nsu.edu
5.62E+14,944,3,2032,Master ,lpawlyn35@nsu.edu
5.41E+14,37,1,2026,Master ,clucianip@nsu.edu
5.25E+14,666,6,2031,Master ,mtupperiv@nsu.edu
5.91E+14,460,10,2026,Master ,gfulmenr9@nsu.edu
5.75E+14,178,9,2032,Master ,ldailyrh@nsu.edu
5.66E+14,794,6,2027,Master ,plomaz41@nsu.edu
5.25E+14,300,9,2025,Master ,jdesouza63@nsu.edu
5.13E+14,987,3,2028,Master ,dpenton8m@nsu.edu
5.11E+14,274,4,2023,Master ,dmcraeis@nsu.edu
5.35E+14,236,10,2032,Master ,mnekrewse9@nsu.edu
5.79E+14,303,11,2031,Master ,dreynard5t@nsu.edu
5.62E+14,873,12,2025,Master ,delnaugh2c@nsu.edu
5.01E+14,893,12,2025,Master ,tbrightey72@nsu.edu
5.33E+14,929,10,2032,Master ,chatchery@nsu.edu
5.81E+14,892,5,2025,Master ,ssherston10@nsu.edu
5.33E+14,901,9,2031,Master ,bgeyton1r@nsu.edu
5.54E+14,861,6,2023,Master ,awackett4i@nsu.edu
5.56E+14,228,5,2030,Master ,bmulleary5z@nsu.edu
5.10E+14,813,1,2029,Master ,nhargrove7s@nsu.edu
5.43E+14,901,8,2025,Master ,adudderidgen5@nsu.edu
5.04E+14,536,5,2031,Master ,bwalenta3x@nsu.edu
5.24E+14,87,10,2032,Master ,sdicarli8m@nsu.edu
5.83E+14,484,7,2023,Master ,swalletta2@nsu.edu
5.09E+14,571,7,2026,Master ,lthackham2x@nsu.edu
5.66E+14,0,10,2028,Master ,vizaac3w@nsu.edu
5.27E+14,854,2,2029,Master ,jjiracekqy@nsu.edu
5.63E+14,752,3,2032,Master ,cwingeatti4@nsu.edu
5.53E+14,885,6,2030,Master ,pslidders4f@nsu.edu
5.22E+14,591,7,2025,Master ,gechalieh4@nsu.edu
5.45E+14,854,1,2024,Master ,chatchettelo@nsu.edu
5.05E+14,234,7,2032,Master ,rgontiernv@nsu.edu
5.53E+14,789,11,2028,Master ,gdruce2z@nsu.edu
5.82E+14,5,2,2027,Master ,lsteptowaq@nsu.edu
5.49E+14,798,9,2023,Master ,esarlebc@nsu.edu
5.81E+14,125,1,2024,Master ,sloughtonkq@nsu.edu
5.18E+14,260,11,2031,Master ,cshinnp3@nsu.edu
5.30E+14,391,3,2029,Master ,mwhiskera4@nsu.edu
5.46E+14,641,3,2028,Master ,vpeate3@nsu.edu
5.42E+14,465,11,2025,Master ,gphorsbygd@nsu.edu
5.66E+14,678,4,2027,Master ,cdemarcohd@nsu.edu
5.79E+14,694,3,2024,Master ,rluckiehl@nsu.edu
5.37E+14,880,7,2032,Master ,wbuschn6@nsu.edu
5.97E+14,60,1,2029,Master ,mortsmannoi@nsu.edu
5.47E+14,330,11,2025,Master ,wosmond5y@nsu.edu
5.40E+14,0,1,2031,Master ,edigginson6q@nsu.edu
5.13E+14,758,2,2031,Master ,llawrenceson72@nsu.edu
5.95E+14,664,3,2029,Master ,rgurnera@nsu.edu
5.25E+14,848,1,2026,Master ,cstrooband1i@nsu.edu
5.15E+14,157,4,2026,Master ,kmayb9@nsu.edu
5.31E+14,430,11,2024,Master ,ndeyeh2@nsu.edu
5.46E+14,720,10,2025,Master ,ltomaszynski8x@nsu.edu
5.16E+14,917,2,2031,Master ,mdumbellqm@nsu.edu
5.54E+14,856,6,2031,Master ,enesbit1n@nsu.edu
5.96E+14,509,2,2026,Master ,wdelongcw@nsu.edu
5.83E+14,930,12,2025,Master ,baccumgg@nsu.edu
5.90E+14,936,9,2031,Master ,bspencleyka@nsu.edu
5.81E+14,69,3,2028,Master ,hcanero7v@nsu.edu
5.19E+14,561,10,2028,Master ,cwintertoni8@nsu.edu
5.13E+14,777,10,2029,Master ,strusslovekn@nsu.edu
5.84E+14,880,8,2032,Master ,hpingstonelk@nsu.edu
5.08E+14,243,7,2028,Master ,kperrelle58@nsu.edu
5.36E+14,795,9,2032,Master ,pshillingford7v@nsu.edu
5.70E+14,639,12,2031,Master ,hpetriello8f@nsu.edu
5.83E+14,312,4,2027,Master ,tcoulman60@nsu.edu
5.53E+14,454,4,2031,Master ,mbernasekrm@nsu.edu
5.35E+14,974,2,2024,Master ,tduffet96@nsu.edu
5.17E+14,236,9,2027,Master ,prolfinia2@nsu.edu
5.47E+14,179,12,2030,Master ,mwattsen@nsu.edu
5.39E+14,36,1,2032,Master ,sfearnsides6v@nsu.edu
5.36E+14,226,3,2029,Master ,astriker7i@nsu.edu
5.62E+14,509,7,2030,Master ,nmcgeachie8o@nsu.edu
5.81E+14,409,9,2032,Master ,sgeratasch3x@nsu.edu
5.54E+14,263,3,2025,Master ,tbice4s@nsu.edu
5.76E+14,66,10,2025,Master ,lscrimshireae@nsu.edu
5.79E+14,771,1,2029,Master ,aforsythay@nsu.edu
5.49E+14,634,4,2029,Master ,adaybornei9@nsu.edu
5.55E+14,460,6,2030,Master ,smaricin@nsu.edu
5.10E+14,787,6,2023,Master ,eferandezks@nsu.edu
5.91E+14,120,12,2031,Master ,mlammers4h@nsu.edu
5.50E+14,436,1,2032,Master ,mwoodwingew@nsu.edu
5.06E+14,86,6,2031,Master ,gmossdalegt@nsu.edu
5.23E+14,903,3,2026,Master ,bknolesou@nsu.edu
5.70E+14,312,1,2026,Master ,mdillimorepu@nsu.edu
5.10E+14,70,12,2024,Master ,cexcell7k@nsu.edu
5.38E+14,684,6,2026,Master ,ztakos8z@nsu.edu
5.40E+14,968,10,2029,Master ,jcory4w@nsu.edu
5.17E+14,653,6,2026,Master ,aromanettiju@nsu.edu
5.21E+14,119,11,2031,Master ,dnorcockl8@nsu.edu
5.15E+14,896,9,2030,Master ,aferencowicznt@nsu.edu
5.03E+14,845,3,2027,Master ,hmarzelord@nsu.edu
5.77E+14,486,3,2026,Master ,sdougillc7@nsu.edu
5.44E+14,736,8,2027,Master ,cmertinch@nsu.edu
5.47E+14,474,3,2024,Master ,kcripwellx@nsu.edu
5.42E+14,583,12,2031,Master ,rshiel3a@nsu.edu
5.68E+14,834,4,2024,Master ,hmell7q@nsu.edu
5.43E+14,677,8,2028,Master ,vyakovliv9v@nsu.edu
5.90E+14,954,4,2027,Master ,rpabloslc@nsu.edu
5.56E+14,494,12,2025,Master ,dgorelli1n@nsu.edu
5.34E+14,309,1,2026,Master ,hrusse2t@nsu.edu
5.50E+14,693,11,2029,Master ,fdantesiamt@nsu.edu
5.84E+14,709,2,2026,Master ,mpinnijarp1@nsu.edu
5.50E+14,992,7,2029,Master ,bmolenpy@nsu.edu
5.56E+14,228,7,2030,Master ,ctapp2@nsu.edu
5.62E+14,386,4,2027,Master ,ldugood3f@nsu.edu
5.85E+14,891,3,2031,Master ,nkimmings9i@nsu.edu
5.85E+14,378,2,2030,Master ,cmcian9s@nsu.edu
5.17E+14,813,2,2026,Master ,mkoeneau@nsu.edu
5.92E+14,5,12,2024,Master ,htaylor74@nsu.edu
5.60E+14,544,1,2031,Master ,lcicchinellib5@nsu.edu
5.63E+14,623,2,2029,Master ,ejakoviljevic47@nsu.edu
5.34E+14,305,7,2024,Master ,bclaussen5c@nsu.edu
5.14E+14,175,6,2024,Master ,msemper81@nsu.edu
5.67E+14,670,3,2029,Master ,hprattefv@nsu.edu
5.05E+14,908,1,2026,Master ,brapport8y@nsu.edu
5.18E+14,192,10,2031,Master ,bsimonsbi@nsu.edu
5.74E+14,367,5,2031,Master ,dgoodbarrq@nsu.edu
5.77E+14,578,4,2030,Master ,jlevecl@nsu.edu
5.51E+14,297,11,2026,Master ,jferreamr@nsu.edu
5.62E+14,209,6,2025,Master ,mkittero3@nsu.edu
5.41E+14,174,12,2030,Master ,psarfat78@nsu.edu
5.48E+14,381,8,2028,Master ,lcrebbingm@nsu.edu
5.09E+14,278,12,2026,Master ,jbirtley45@nsu.edu
5.45E+14,82,7,2028,Master ,mmaywardbb@nsu.edu
5.14E+14,212,1,2023,Master ,edumberellfd@nsu.edu
5.58E+14,512,8,2027,Master ,rrobuchonhr@nsu.edu
5.55E+14,169,8,2028,Master ,pmcchruiterlg@nsu.edu
6.00E+14,971,1,2026,Master ,fcapronqr@nsu.edu
5.84E+14,174,1,2029,Master ,smcavaddy1l@nsu.edu
5.27E+14,914,8,2026,Master ,vnottingham33@nsu.edu
5.81E+14,62,10,2032,Master ,wayrs5d@nsu.edu
5.46E+14,201,3,2025,Master ,ebeddinggc@nsu.edu
5.15E+14,659,2,2026,Master ,rblankoig@nsu.edu
5.25E+14,53,12,2024,Master ,nclutramn3@nsu.edu
5.15E+14,540,5,2027,Master ,mblaisepa@nsu.edu
5.57E+14,420,12,2024,Master ,nlawb2@nsu.edu
5.08E+14,333,5,2025,Master ,drubyq3@nsu.edu
5.94E+14,200,11,2024,Master ,tdougher1o@nsu.edu
5.25E+14,758,2,2024,Master ,tpolinijo@nsu.edu
5.51E+14,657,4,2027,Master ,ecarlyonkd@nsu.edu
5.11E+14,182,4,2031,Master ,bgarrawaym6@nsu.edu
5.04E+14,623,5,2024,Master ,jsnowballpc@nsu.edu
5.70E+14,436,9,2028,Master ,clutsch5u@nsu.edu
5.51E+14,309,6,2029,Master ,dfeige2f@nsu.edu
5.95E+14,258,7,2032,Master ,wucceli3y@nsu.edu
5.85E+14,614,4,2024,Master ,gnorley6r@nsu.edu
5.17E+14,628,2,2026,Master ,pwareingf9@nsu.edu
5.78E+14,268,2,2026,Master ,jketchn4@nsu.edu
5.17E+14,636,1,2032,Master ,sodriscolln5@nsu.edu
5.75E+14,611,3,2030,Master ,dwimmersq4@nsu.edu
5.18E+14,183,9,2024,Master ,cgrigoriscu6m@nsu.edu
5.07E+14,508,1,2024,Master ,vspraggscg@nsu.edu
5.02E+14,14,3,2031,Master ,aclorley95@nsu.edu
5.41E+14,323,6,2031,Master ,jgarrood8v@nsu.edu
5.76E+14,289,2,2031,Master ,swonterql@nsu.edu
5.26E+14,180,10,2023,Master ,mdrysdaleb@nsu.edu
5.11E+14,539,3,2032,Master ,ecomollipo@nsu.edu
5.99E+14,874,6,2030,Master ,fmackeanqh@nsu.edu
5.26E+14,160,8,2025,Master ,ecatford2c@nsu.edu
5.60E+14,221,2,2026,Master ,kboot8h@nsu.edu
5.68E+14,690,7,2025,Master ,mbabonau82@nsu.edu
5.22E+14,262,7,2030,Master ,jgrelakcj@nsu.edu
5.15E+14,478,2,2025,Master ,lmcmanusmc@nsu.edu
5.40E+14,42,3,2026,Master ,garnaez5e@nsu.edu
5.15E+14,269,7,2032,Master ,amortimer7z@nsu.edu
5.42E+14,465,1,2030,Master ,vbarkedq@nsu.edu
5.40E+14,802,7,2031,Master ,rfinnie7m@nsu.edu
5.47E+14,336,3,2024,Master ,iblest99@nsu.edu
5.86E+14,405,11,2026,Master ,sdavid1y@nsu.edu
5.96E+14,863,12,2028,Master ,gkubesbn@nsu.edu
5.64E+14,373,11,2023,Master ,rwhickmanc8@nsu.edu
5.61E+14,618,3,2023,Master ,mkringe12@nsu.edu
5.78E+14,928,9,2029,Master ,bcorradino2c@nsu.edu
5.25E+14,332,10,2025,Master ,lcully3l@nsu.edu
5.24E+14,755,8,2029,Master ,vgemelli4e@nsu.edu
5.63E+14,304,4,2023,Master ,spurkissaf@nsu.edu
5.99E+14,166,9,2025,Master ,lcutting5@nsu.edu
5.60E+14,505,3,2026,Master ,abloschkegl@nsu.edu
5.88E+14,758,9,2031,Master ,hlipyeatjn@nsu.edu
5.53E+14,444,11,2028,Master ,ecortingq@nsu.edu
5.04E+14,806,1,2026,Master ,spinwillhg@nsu.edu
5.30E+14,315,1,2025,Master ,acastelliji@nsu.edu
5.92E+14,48,11,2024,Master ,rswanbournemn@nsu.edu
5.33E+14,557,4,2024,Master ,lmapis1x@nsu.edu
5.58E+14,402,1,2023,Master ,ttorril2@nsu.edu
5.83E+14,484,11,2030,Master ,redie1s@nsu.edu
5.12E+14,582,12,2032,Master ,mgitsham4k@nsu.edu
6.00E+14,43,3,2031,Master ,gwerendellez@nsu.edu
5.67E+14,998,10,2024,Master ,dpeyntueqp@nsu.edu
5.37E+14,797,9,2024,Master ,jmclellan9@nsu.edu
5.79E+14,190,9,2030,Master ,gheritya3@nsu.edu
5.63E+14,471,7,2031,Master ,smenlowjx@nsu.edu
5.09E+14,992,4,2031,Master ,bqueenni@nsu.edu
5.71E+14,778,9,2028,Master ,uwoganqn@nsu.edu
5.58E+14,137,5,2032,Master ,rdeniseau93@nsu.edu
6.00E+14,398,7,2025,Master ,gbalas91@nsu.edu
5.81E+14,75,3,2030,Master ,fmcaviyjz@nsu.edu
5.33E+14,530,5,2030,Master ,gfforde16@nsu.edu
5.90E+14,621,10,2024,Master ,ceskrick3h@nsu.edu
5.87E+14,912,11,2023,Master ,dmcgeachie7y@nsu.edu
5.23E+14,250,11,2025,Master ,vcrix93@nsu.edu
5.11E+14,497,11,2027,Master ,wcrannaau@nsu.edu
5.74E+14,536,12,2031,Master ,gghidellijb@nsu.edu
5.15E+14,106,1,2025,Master ,pmacrinnkt@nsu.edu
5.73E+14,651,3,2026,Master ,mcapron7d@nsu.edu
5.62E+14,858,5,2025,Master ,ebradderlw@nsu.edu
5.10E+14,54,5,2030,Master ,ohardsonn3@nsu.edu
5.53E+14,144,7,2026,Master ,tdykesd@nsu.edu
5.74E+14,435,2,2029,Master ,npuckette@nsu.edu
5.75E+14,717,12,2025,Master ,kmoncreifff2@nsu.edu
5.15E+14,769,3,2027,Master ,bschoffelh5@nsu.edu
5.16E+14,693,7,2024,Master ,mswalwel9b@nsu.edu
5.83E+14,360,10,2032,Master ,daburrowbn@nsu.edu
5.65E+14,621,1,2026,Master ,gallwarddm@nsu.edu
5.89E+14,430,11,2027,Master ,abockeec@nsu.edu
5.02E+14,938,6,2024,Master ,rbastonemx@nsu.edu
5.49E+14,609,11,2027,Master ,rraweso7@nsu.edu
5.86E+14,581,5,2024,Master ,sbarwello9@nsu.edu
5.89E+14,772,11,2032,Master ,egaffeym@nsu.edu
5.66E+14,576,4,2029,Master ,tallewell9x@nsu.edu
5.68E+14,78,10,2029,Master ,zschoenrockb3@nsu.edu
5.87E+14,12,1,2032,Master ,hivakhin9i@nsu.edu
5.75E+14,317,5,2024,Master ,phew2q@nsu.edu
5.08E+14,297,1,2032,Master ,rdevaan2s@nsu.edu
5.24E+14,518,2,2024,Master ,focoskerry8s@nsu.edu
5.17E+14,500,11,2023,Master ,slarrawaybn@nsu.edu
5.53E+14,306,7,2025,Master ,rlevicountdl@nsu.edu
5.99E+14,124,7,2032,Master ,gbuncomke@nsu.edu
5.74E+14,732,4,2030,Master ,csamudiolc@nsu.edu
5.70E+14,84,11,2027,Master ,jnorquay39@nsu.edu
5.43E+14,662,12,2031,Master ,cevans4t@nsu.edu
5.64E+14,964,4,2023,Master ,dbussy7p@nsu.edu
5.21E+14,656,1,2025,Master ,ogoulborn88@nsu.edu
5.79E+14,997,8,2032,Master ,etolchardeap@nsu.edu
5.46E+14,243,2,2023,Master ,kfeeney30@nsu.edu
5.11E+14,328,8,2030,Master ,gambrosch35@nsu.edu
5.80E+14,243,9,2024,Master ,hjedras68@nsu.edu
5.81E+14,548,11,2031,Master ,ghandsoy@nsu.edu
5.10E+14,28,10,2029,Master ,mharbord54@nsu.edu
5.15E+14,400,11,2030,Master ,rludlamme5o@nsu.edu
5.94E+14,273,7,2028,Master ,fpulley6i@nsu.edu
5.01E+14,666,5,2024,Master ,hbarghbl@nsu.edu
5.93E+14,950,4,2024,Master ,rmcallanhq@nsu.edu
5.86E+14,570,9,2031,Master ,lphelanii@nsu.edu
5.70E+14,91,4,2030,Master ,aaristidejc@nsu.edu
5.30E+14,295,11,2030,Master ,tbleazardjy@nsu.edu
5.39E+14,741,3,2026,Master ,wbowlesmf@nsu.edu
5.90E+14,629,11,2024,Master ,agatus22@nsu.edu
5.09E+14,176,1,2027,Master ,mwalkey4v@nsu.edu
5.22E+14,949,10,2031,Master ,dmetson15@nsu.edu
5.17E+14,215,12,2027,Master ,gbealar@nsu.edu
5.72E+14,455,10,2028,Master ,rmacgilmartinat@nsu.edu
5.61E+14,600,3,2026,Master ,lbuttrickpr@nsu.edu
5.01E+14,413,8,2025,Master ,lbrockherst6r@nsu.edu
5.61E+14,484,5,2026,Master ,jpartnerct@nsu.edu
5.51E+14,890,9,2026,Master ,dvasyushkhinea@nsu.edu
5.02E+14,46,8,2025,Master ,wlittlewoodom@nsu.edu
5.08E+14,359,6,2031,Master ,zclemoes1m@nsu.edu
5.45E+14,946,12,2029,Master ,lcrockford4q@nsu.edu
5.12E+14,160,3,2029,Master ,rpikesley7h@nsu.edu
5.89E+14,806,2,2023,Master ,amoizer8w@nsu.edu
5.74E+14,317,4,2023,Master ,jwooderson5q@nsu.edu
5.98E+14,30,9,2030,Master ,amoggan70@nsu.edu
5.41E+14,620,12,2031,Master ,mfairhamf0@nsu.edu
5.96E+14,853,9,2028,Master ,iciobotarujm@nsu.edu
5.88E+14,604,9,2026,Master ,ssextonekt@nsu.edu
5.02E+14,797,2,2027,Master ,lfennak@nsu.edu
5.30E+14,690,6,2029,Master ,msawday22@nsu.edu
5.31E+14,335,1,2024,Master ,lnoden2p@nsu.edu
5.27E+14,481,11,2028,Master ,mmckinstry4v@nsu.edu
5.75E+14,604,9,2031,Master ,hyurocjhinbk@nsu.edu
5.53E+14,913,8,2030,Master ,lmcgaughayrq@nsu.edu
5.56E+14,474,11,2032,Master ,aendon1o@nsu.edu
5.40E+14,490,3,2027,Master ,womara8l@nsu.edu
5.39E+14,530,12,2026,Master ,ktristramak@nsu.edu
5.51E+14,24,7,2027,Master ,mkittley1c@nsu.edu
5.72E+14,920,2,2024,Master ,syerbury8y@nsu.edu
5.63E+14,535,3,2024,Master ,khaglintona1@nsu.edu
5.22E+14,255,7,2029,Master ,amuatcx@nsu.edu
5.28E+14,714,2,2032,Master ,dtelegaib@nsu.edu
5.35E+14,768,3,2027,Master ,hhardesty5@nsu.edu
5.07E+14,98,11,2027,Master ,olouis1t@nsu.edu
5.11E+14,383,6,2030,Master ,thaggardar@nsu.edu
5.32E+14,615,3,2029,Master ,nfazackerley2a@nsu.edu
5.88E+14,12,5,2023,Master ,sfurmston2k@nsu.edu
5.34E+14,700,10,2030,Master ,jthwaite4l@nsu.edu
5.52E+14,841,7,2023,Master ,bollerhead6v@nsu.edu
5.14E+14,57,4,2025,Master ,eangelod3@nsu.edu
5.06E+14,426,9,2024,Master ,chazeldeankg@nsu.edu
5.86E+14,214,3,2023,Master ,ssorleyn9@nsu.edu
5.96E+14,544,3,2028,Master ,tplaisterny@nsu.edu
5.66E+14,593,7,2031,Master ,lchatin6y@nsu.edu
5.37E+14,82,1,2031,Master ,ikennerknechtce@nsu.edu
5.77E+14,232,9,2032,Master ,plucianohn@nsu.edu
5.70E+14,803,8,2027,Master ,skarliklp@nsu.edu
5.23E+14,48,7,2023,Master ,ctreskemw@nsu.edu
5.79E+14,731,10,2032,Master ,vladbury5b@nsu.edu
5.39E+14,563,5,2030,Master ,lfiggera6@nsu.edu
5.13E+14,836,11,2029,Master ,jkittel3d@nsu.edu
5.94E+14,531,7,2030,Master ,crizzillo6g@nsu.edu
5.40E+14,168,8,2023,Master ,twhiteareq@nsu.edu
5.68E+14,507,3,2027,Master ,divantsovgz@nsu.edu
5.85E+14,887,1,2023,Master ,ameganyhn@nsu.edu
5.23E+14,738,10,2024,Master ,ielecumku@nsu.edu
5.78E+14,48,3,2028,Master ,awardernz@nsu.edu
5.45E+14,125,11,2028,Master ,abeedomo8@nsu.edu
5.26E+14,677,5,2027,Master ,agomer8h@nsu.edu
5.49E+14,972,12,2023,Master ,egullyhv@nsu.edu
5.47E+14,542,9,2028,Master ,gbunyanoj@nsu.edu
5.55E+14,885,3,2031,Master ,hcrusq6@nsu.edu
5.95E+14,788,10,2030,Master ,fdickmanr5@nsu.edu
5.70E+14,970,2,2029,Master ,kstellman3d@nsu.edu
5.55E+14,115,1,2032,Master ,dsandham5p@nsu.edu
5.73E+14,463,5,2025,Master ,bmaclaverty2v@nsu.edu
5.42E+14,233,11,2030,Master ,ksnoddy38@nsu.edu
5.48E+14,26,2,2029,Master ,wspadelli8j@nsu.edu
5.97E+14,365,10,2024,Master ,echristofides8n@nsu.edu
5.68E+14,917,5,2026,Master ,ihannondki@nsu.edu
5.94E+14,179,8,2023,Master ,zcorssenm9@nsu.edu
5.45E+14,319,9,2029,Master ,gdinsmoreq@nsu.edu
5.39E+14,148,7,2032,Master ,tmassyu@nsu.edu
5.22E+14,94,1,2030,Master ,rwallace3e@nsu.edu
5.57E+14,590,11,2023,Master ,bhardi4k@nsu.edu
5.72E+14,101,7,2031,Master ,pjewel9h@nsu.edu
5.74E+14,126,9,2024,Master ,jokiebt@nsu.edu
5.44E+14,821,10,2032,Master ,cbroadbridgelf@nsu.edu
5.94E+14,490,6,2030,Master ,tjarreltof@nsu.edu
5.55E+14,992,6,2028,Master ,smulford5n@nsu.edu
5.11E+14,328,7,2026,Master ,nbonafacinoat@nsu.edu
5.23E+14,153,2,2028,Master ,bvanichkov6k@nsu.edu
5.36E+14,214,1,2029,Master ,ebaudyfv@nsu.edu
5.29E+14,198,11,2026,Master ,csnook2u@nsu.edu
5.33E+14,214,9,2029,Master ,sgeorgeotb7@nsu.edu
5.16E+14,677,11,2025,Master ,lhauckedb@nsu.edu
5.94E+14,665,8,2029,Master ,pmilsomh7@nsu.edu
5.46E+14,530,5,2029,Master ,clealjm@nsu.edu
5.13E+14,142,12,2029,Master ,lorrickl4@nsu.edu
5.95E+14,299,10,2025,Master ,csimkovitznm@nsu.edu
5.60E+14,941,12,2024,Master ,smaccrea9e@nsu.edu
5.21E+14,119,5,2030,Master ,dthorowgood2p@nsu.edu
5.24E+14,727,1,2031,Master ,icabbell32@nsu.edu
5.23E+14,841,6,2031,Master ,mlisleai@nsu.edu
5.03E+14,121,1,2025,Master ,gpantridgebr@nsu.edu
5.61E+14,695,3,2028,Master ,cstrangewaysos@nsu.edu
5.13E+14,832,11,2032,Master ,acinellid6@nsu.edu
5.03E+14,808,1,2023,Master ,cparratton@nsu.edu
5.59E+14,557,5,2027,Master ,iscade6j@nsu.edu
5.02E+14,674,6,2024,Master ,jlongshawgb@nsu.edu
5.35E+14,10,10,2024,Master ,rgoulbornegn@nsu.edu
5.21E+14,742,3,2032,Master ,jkruszelnickik3@nsu.edu
5.44E+14,99,1,2029,Master ,bsimonssonp6@nsu.edu
5.91E+14,118,5,2023,Master ,dgotcliffe73@nsu.edu
5.64E+14,859,4,2028,Master ,dconkaya9@nsu.edu
5.59E+14,847,3,2029,Master ,rgleesonk9@nsu.edu
5.43E+14,329,1,2030,Master ,dantrackkf@nsu.edu
5.96E+14,365,2,2023,Master ,cboundemh@nsu.edu
5.48E+14,140,12,2028,Master ,imiddlehurstnv@nsu.edu
5.28E+14,604,2,2031,Master ,alowman1p@nsu.edu
5.30E+14,888,12,2030,Master ,llescop5x@nsu.edu
5.78E+14,838,2,2025,Master ,bbauldrey18@nsu.edu
5.80E+14,477,6,2025,Master ,dtellwrightcv@nsu.edu
5.43E+14,384,6,2026,Master ,shundellz@nsu.edu
5.68E+14,564,11,2024,Master ,ytritton3w@nsu.edu
5.93E+14,805,1,2025,Master ,jmoodie7a@nsu.edu
5.09E+14,888,6,2025,Master ,bhaskayneb9@nsu.edu
5.44E+14,479,6,2030,Master ,gmcarte6f@nsu.edu
5.10E+14,548,6,2027,Master ,lmacalorenc7@nsu.edu
5.11E+14,610,12,2028,Master ,npackfu@nsu.edu
5.50E+14,951,1,2030,Master ,abrogioni5p@nsu.edu
5.76E+14,294,9,2030,Master ,manster7o@nsu.edu
5.71E+14,615,10,2027,Master ,rjanczak9r@nsu.edu
5.02E+14,714,4,2025,Master ,kwhithamdj@nsu.edu
5.97E+14,992,12,2024,Master ,sjankunl@nsu.edu
5.68E+14,41,6,2032,Master ,dbenedttib@nsu.edu
